"city","make","Model","ttl","rnk"
Twisp,RIVIAN,R1S,4,4
Twisp,TOYOTA,PRIUS PRIME,4,5
Underwood,TESLA,MODEL Y,8,1
Underwood,TOYOTA,RAV4 PRIME,5,2
Underwood,CHRYSLER,PACIFICA,2,3
Underwood,FORD,F-150,2,4
Underwood,HYUNDAI,IONIQ 5,2,5
Union,TESLA,MODEL Y,12,1
Union,JEEP,WRANGLER,4,2
Union,CHRYSLER,PACIFICA,3,3
Union,RIVIAN,R1T,3,4
Union,TESLA,MODEL S,3,5
Union Gap,TESLA,MODEL 3,4,1
Union Gap,TESLA,MODEL Y,4,2
Union Gap,TOYOTA,PRIUS PRIME,2,3
Union Gap,CHEVROLET,BOLT EV,1,4
Union Gap,MERCEDES-BENZ,B-CLASS,1,5
Uniontown,JEEP,WRANGLER,2,1
Uniontown,SUBARU,SOLTERRA,2,2
Uniontown,FORD,MUSTANG MACH-E,1,3
Uniontown,JEEP,GRAND CHEROKEE,1,4
University Place,TESLA,MODEL Y,108,1
University Place,TESLA,MODEL 3,95,2
University Place,NISSAN,LEAF,55,3
University Place,TESLA,MODEL S,27,4
University Place,CHEVROLET,BOLT EV,26,5
Usk,FORD,F-150,1,1
Vader,CHEVROLET,VOLT,3,1
Vader,CHRYSLER,PACIFICA,2,2
Vader,CHEVROLET,BOLT EUV,1,3
Vader,CHEVROLET,BOLT EV,1,4
Vader,HONDA,PROLOGUE,1,5
Valley,TESLA,MODEL 3,2,1
Valley,TESLA,MODEL Y,2,2
Valley,TOYOTA,RAV4 PRIME,2,3
Valley,FIAT,"500",1,4
Valley,FORD,MUSTANG MACH-E,1,5
Valleyford,TESLA,MODEL Y,9,1
Valleyford,TESLA,MODEL 3,3,2
Valleyford,FORD,F-150,2,3
Valleyford,KIA,EV6,2,4
Valleyford,NISSAN,LEAF,2,5
Vancouver,TESLA,MODEL 3,228,1
Vancouver,TESLA,MODEL Y,220,2
Vancouver,NISSAN,LEAF,200,3
Vancouver,TESLA,MODEL S,171,4
Vancouver,CHEVROLET,VOLT,153,5
Vantage,CHEVROLET,BOLT EUV,1,1
Vantage,TESLA,MODEL 3,1,2
Vashon,NISSAN,LEAF,90,1
Vashon,TESLA,MODEL 3,53,2
Vashon,TESLA,MODEL Y,49,3
Vashon,CHEVROLET,BOLT EV,29,4
Vashon,BMW,I3,28,5
Vaughn,TESLA,MODEL 3,8,1
Vaughn,TESLA,MODEL Y,5,2
Vaughn,TOYOTA,PRIUS PRIME,3,3
Vaughn,FORD,F-150,2,4
Vaughn,NISSAN,LEAF,2,5
Veradale,TESLA,MODEL Y,14,1
Veradale,TESLA,MODEL 3,9,2
Veradale,TESLA,MODEL S,5,3
Veradale,TESLA,MODEL X,4,4
Veradale,BMW,X5,3,5
Wahkiacus,CHEVROLET,VOLT,1,1
Wahkiacus,JEEP,WRANGLER,1,2
Waitsburg,CHEVROLET,BOLT EUV,2,1
Waitsburg,CHEVROLET,BOLT EV,2,2
Waitsburg,AUDI,A3,1,3
Waitsburg,CHEVROLET,VOLT,1,4
Waitsburg,CHRYSLER,PACIFICA,1,5
Waldron,NISSAN,LEAF,3,1
Waldron,CHEVROLET,BOLT EV,1,2
Walla Walla,TESLA,MODEL 3,49,1
Walla Walla,TESLA,MODEL Y,45,2
Walla Walla,NISSAN,LEAF,30,3
Walla Walla,TOYOTA,RAV4 PRIME,26,4
Walla Walla,TESLA,MODEL S,20,5
Walla Walla Co,BMW,X5,1,1
Walla Walla Co,MITSUBISHI,OUTLANDER,1,2
Walla Walla Co,TESLA,MODEL Y,1,3
Wapato,TESLA,MODEL 3,15,1
Wapato,TESLA,MODEL Y,4,2
Wapato,TESLA,MODEL S,2,3
Wapato,BMW,X5,1,4
Wapato,CADILLAC,LYRIQ,1,5
Warden,TESLA,MODEL 3,5,1
Warden,FORD,F-150,2,2
Warden,BMW,X5,1,3
Warden,CHEVROLET,BOLT EV,1,4
Warden,CHEVROLET,SPARK,1,5
Washougal,TESLA,MODEL 3,89,1
Washougal,TESLA,MODEL Y,85,2
Washougal,TESLA,MODEL S,34,3
Washougal,CHEVROLET,VOLT,24,4
Washougal,JEEP,WRANGLER,24,5
Washtucna,NISSAN,LEAF,1,1
Washtucna,RIVIAN,R1T,1,2
Waterville,TESLA,MODEL 3,2,1
Waterville,BMW,I7,1,2
Waterville,CHEVROLET,BOLT EV,1,3
Waterville,SUBARU,SOLTERRA,1,4
Waterville,TESLA,MODEL S,1,5
Wellpinit,JEEP,WRANGLER,2,1
Wenatchee,TESLA,MODEL Y,76,1
Wenatchee,TESLA,MODEL 3,54,2
Wenatchee,NISSAN,LEAF,43,3
Wenatchee,CHEVROLET,BOLT EV,22,4
Wenatchee,FORD,MUSTANG MACH-E,19,5
West Richland,TESLA,MODEL 3,47,1
West Richland,TESLA,MODEL Y,43,2
West Richland,CHEVROLET,VOLT,17,3
West Richland,TESLA,MODEL S,16,4
West Richland,CHEVROLET,BOLT EV,15,5
Westport,TESLA,MODEL Y,6,1
Westport,TOYOTA,PRIUS PRIME,3,2
Westport,TESLA,MODEL S,2,3
Westport,TOYOTA,PRIUS PHEV,2,4
Westport,VOLKSWAGEN,ID.4,2,5
White Salmon,TESLA,MODEL Y,38,1
White Salmon,TESLA,MODEL 3,17,2
White Salmon,CHEVROLET,BOLT EV,12,3
White Salmon,TOYOTA,RAV4 PRIME,10,4
White Salmon,NISSAN,LEAF,9,5
White Swan,FORD,FUSION,1,1
Wilbur,JEEP,GRAND CHEROKEE,2,1
Wilbur,FORD,FUSION,1,2
Wilbur,LEXUS,NX,1,3
Wilbur,TESLA,MODEL 3,1,4
Wilbur,TOYOTA,RAV4 PRIME,1,5
Wilkeson,FORD,F-150,1,1
Wilkeson,MINI,COUNTRYMAN,1,2
Wilkeson,NISSAN,ARIYA,1,3
Wilkeson,TESLA,MODEL 3,1,4
Wilkeson,TESLA,MODEL Y,1,5
Willapa,BMW,I4,1,1
Willapa,JEEP,WRANGLER,1,2
Willapa,TESLA,MODEL Y,1,3
Willapa,TOYOTA,BZ4X,1,4
Winlock,TESLA,MODEL 3,15,1
Winlock,TESLA,MODEL Y,10,2
Winlock,CHEVROLET,BOLT EV,9,3
Winlock,JEEP,WRANGLER,8,4
Winlock,FORD,FUSION,5,5
Winthrop,TESLA,MODEL Y,27,1
Winthrop,TOYOTA,RAV4 PRIME,11,2
Winthrop,VOLKSWAGEN,ID.4,10,3
Winthrop,CHEVROLET,BOLT EV,9,4
Winthrop,FORD,F-150,6,5
Wishram,TESLA,MODEL 3,1,1
Woodinville,TESLA,MODEL Y,173,1
Woodinville,TESLA,MODEL 3,172,2
Woodinville,TESLA,MODEL X,113,3
Woodinville,TESLA,MODEL S,108,4
Woodinville,NISSAN,LEAF,105,5
Woodland,TESLA,MODEL Y,47,1
Woodland,TESLA,MODEL 3,38,2
Woodland,TESLA,MODEL S,13,3
Woodland,CHRYSLER,PACIFICA,9,4
Woodland,JEEP,WRANGLER,9,5
Woodway,TESLA,MODEL Y,19,1
Woodway,TESLA,MODEL 3,11,2
Woodway,RIVIAN,R1S,9,3
Woodway,TESLA,MODEL S,8,4
Woodway,BMW,X5,6,5
Wrch,TESLA,MODEL Y,2,1
Wrch,TESLA,MODEL 3,1,2
Yacolt,TESLA,MODEL Y,19,1
Yacolt,TESLA,MODEL 3,10,2
Yacolt,NISSAN,LEAF,5,3
Yacolt,FORD,MUSTANG MACH-E,4,4
Yacolt,KIA,EV6,3,5
Yakima,TESLA,MODEL 3,106,1
Yakima,TESLA,MODEL Y,105,2
Yakima,CHEVROLET,VOLT,39,3
Yakima,TESLA,MODEL S,32,4
Yakima,NISSAN,LEAF,31,5
Yarrow Point,TESLA,MODEL Y,30,1
Yarrow Point,TESLA,MODEL S,20,2
Yarrow Point,TESLA,MODEL 3,19,3
Yarrow Point,TESLA,MODEL X,14,4
Yarrow Point,BMW,X5,7,5
Yelm,TESLA,MODEL 3,58,1
Yelm,TESLA,MODEL Y,56,2
Yelm,NISSAN,LEAF,19,3
Yelm,JEEP,WRANGLER,17,4
Yelm,KIA,NIRO,15,5
Zillah,TESLA,MODEL Y,8,1
Zillah,TESLA,MODEL 3,6,2
Zillah,NISSAN,LEAF,4,3
Zillah,JEEP,WRANGLER,3,4
Zillah,KIA,EV6,3,5
