"city","make","Model","ttl","rnk"
Curtis,TESLA,MODEL 3,3,1
Curtis,JEEP,WRANGLER,2,2
Curtis,FORD,C-MAX,1,3
Curtis,FORD,F-150,1,4
Curtis,FORD,MUSTANG MACH-E,1,5
Cusick,CHEVROLET,BLAZER,2,1
Cusick,CHEVROLET,BOLT EV,1,2
Cusick,CHEVROLET,EQUINOX,1,3
Cusick,CHRYSLER,PACIFICA,1,4
Cusick,FORD,FUSION,1,5
Custer,TESLA,MODEL 3,6,1
Custer,TESLA,MODEL Y,5,2
Custer,NISSAN,LEAF,4,3
Custer,CHEVROLET,VOLT,3,4
Custer,FORD,MUSTANG MACH-E,2,5
Dallesport,TESLA,MODEL 3,5,1
Dallesport,TOYOTA,PRIUS PRIME,2,2
Dallesport,CADILLAC,LYRIQ,1,3
Dallesport,CHEVROLET,BOLT EV,1,4
Dallesport,FORD,MUSTANG MACH-E,1,5
Danville,TESLA,MODEL 3,1,1
Darrington,FORD,F-150,5,1
Darrington,CHEVROLET,EQUINOX,2,2
Darrington,TESLA,MODEL 3,2,3
Darrington,CHEVROLET,BOLT EV,1,4
Darrington,FORD,MUSTANG MACH-E,1,5
Davenport,TESLA,MODEL 3,5,1
Davenport,TESLA,MODEL Y,4,2
Davenport,CHEVROLET,BOLT EV,3,3
Davenport,TOYOTA,PRIUS PRIME,3,4
Davenport,BMW,"530E",1,5
Dayton,CHEVROLET,BOLT EV,3,1
Dayton,FORD,F-150,3,2
Dayton,TESLA,MODEL S,2,3
Dayton,TESLA,MODEL Y,2,4
Dayton,CHEVROLET,BOLT EUV,1,5
Deer Harbor,CHEVROLET,BOLT EV,1,1
Deer Meadows,TESLA,MODEL Y,2,1
Deer Meadows,CHEVROLET,VOLT,1,2
Deer Park,TESLA,MODEL Y,17,1
Deer Park,TESLA,MODEL 3,10,2
Deer Park,JEEP,WRANGLER,5,3
Deer Park,NISSAN,LEAF,5,4
Deer Park,CHEVROLET,BOLT EV,4,5
Deming,NISSAN,LEAF,7,1
Deming,TESLA,MODEL 3,3,2
Deming,CHEVROLET,BOLT EUV,2,3
Deming,FORD,F-150,2,4
Deming,FORD,MUSTANG MACH-E,2,5
Des Moines,TESLA,MODEL Y,102,1
Des Moines,TESLA,MODEL 3,81,2
Des Moines,NISSAN,LEAF,28,3
Des Moines,CHEVROLET,BOLT EV,24,4
Des Moines,VOLKSWAGEN,ID.4,24,5
Dixie,TESLA,MODEL Y,1,1
Dryden,TESLA,MODEL Y,1,1
Dupont,TESLA,MODEL Y,53,1
Dupont,TESLA,MODEL 3,41,2
Dupont,NISSAN,LEAF,11,3
Dupont,JEEP,WRANGLER,9,4
Dupont,FORD,F-150,7,5
Duvall,TESLA,MODEL Y,103,1
Duvall,TESLA,MODEL 3,85,2
Duvall,NISSAN,LEAF,55,3
Duvall,CHEVROLET,BOLT EV,26,4
Duvall,TESLA,MODEL S,24,5
East Wenatchee,TESLA,MODEL Y,60,1
East Wenatchee,TESLA,MODEL 3,51,2
East Wenatchee,NISSAN,LEAF,28,3
East Wenatchee,TESLA,MODEL S,19,4
East Wenatchee,CHEVROLET,VOLT,17,5
Easton,TESLA,MODEL Y,7,1
Easton,CHEVROLET,BOLT EV,1,2
Easton,CHEVROLET,VOLT,1,3
Easton,FORD,F-150,1,4
Easton,FORD,FUSION,1,5
Eastsound,NISSAN,LEAF,63,1
Eastsound,CHEVROLET,BOLT EV,26,2
Eastsound,TESLA,MODEL Y,22,3
Eastsound,CHEVROLET,VOLT,16,4
Eastsound,TESLA,MODEL 3,15,5
Eatonville,TESLA,MODEL 3,33,1
Eatonville,TESLA,MODEL Y,23,2
Eatonville,NISSAN,LEAF,9,3
Eatonville,FORD,F-150,7,4
Eatonville,TESLA,MODEL S,7,5
Edgewood,TESLA,MODEL Y,64,1
Edgewood,TESLA,MODEL 3,56,2
Edgewood,TESLA,MODEL S,14,3
Edgewood,CHEVROLET,VOLT,13,4
Edgewood,TESLA,MODEL X,12,5
Edmonds,TESLA,MODEL 3,161,1
Edmonds,TESLA,MODEL Y,152,2
Edmonds,NISSAN,LEAF,135,3
Edmonds,TESLA,MODEL S,69,4
Edmonds,VOLKSWAGEN,ID.4,62,5
Edwall,CHEVROLET,VOLT,1,1
Edwall,FORD,C-MAX,1,2
Edwall,KIA,EV6,1,3
Edwall,TESLA,MODEL 3,1,4
Edwall,TESLA,MODEL Y,1,5
Elbe,TESLA,MODEL 3,3,1
Elbe,RIVIAN,R1S,1,2
Elbe,TESLA,MODEL Y,1,3
Electric City,TESLA,MODEL Y,3,1
Electric City,CHEVROLET,VOLT,1,2
Electric City,FORD,FUSION,1,3
Electric City,FORD,MUSTANG MACH-E,1,4
Electric City,VOLKSWAGEN,ID.4,1,5
Elk,CHEVROLET,BOLT EV,4,1
Elk,CHEVROLET,VOLT,3,2
Elk,NISSAN,ARIYA,3,3
Elk,TESLA,MODEL X,3,4
Elk,KIA,EV6,2,5
Ellensburg,TESLA,MODEL 3,60,1
Ellensburg,TESLA,MODEL Y,55,2
Ellensburg,NISSAN,LEAF,15,3
Ellensburg,FORD,F-150,14,4
Ellensburg,CHEVROLET,BOLT EV,13,5
Elma,TESLA,MODEL 3,13,1
Elma,TESLA,MODEL Y,11,2
Elma,NISSAN,LEAF,7,3
Elma,CHRYSLER,PACIFICA,4,4
Elma,FORD,FUSION,4,5
Elmer City,CHEVROLET,BOLT EUV,1,1
Elmer City,FORD,FUSION,1,2
Eltopia,CHEVROLET,VOLT,2,1
Eltopia,TESLA,MODEL Y,2,2
Eltopia,CADILLAC,LYRIQ,1,3
Eltopia,FORD,FUSION,1,4
Eltopia,LINCOLN,AVIATOR,1,5
Endicott,FORD,F-150,2,1
Endicott,FORD,FUSION,1,2
Endicott,NISSAN,LEAF,1,3
Endicott,TESLA,MODEL Y,1,4
Endicott,TOYOTA,PRIUS PRIME,1,5
Entiat,TESLA,MODEL Y,7,1
Entiat,TESLA,MODEL 3,6,2
Entiat,NISSAN,LEAF,4,3
Entiat,FORD,FUSION,3,4
Entiat,FORD,F-150,2,5
Enumclaw,TESLA,MODEL 3,61,1
Enumclaw,TESLA,MODEL Y,56,2
Enumclaw,CHEVROLET,BOLT EV,32,3
Enumclaw,TESLA,MODEL S,24,4
Enumclaw,FORD,MUSTANG MACH-E,17,5
Ephrata,TESLA,MODEL 3,18,1
Ephrata,TESLA,MODEL Y,18,2
Ephrata,JEEP,GRAND CHEROKEE,10,3
Ephrata,FORD,F-150,7,4
Ephrata,JEEP,WRANGLER,6,5
Ethel,TESLA,MODEL Y,3,1
Ethel,TOYOTA,PRIUS PRIME,2,2
Ethel,FORD,MUSTANG MACH-E,1,3
Ethel,HYUNDAI,KONA,1,4
Ethel,LINCOLN,CORSAIR,1,5
Evans,CHEVROLET,VOLT,3,1
Evans,AUDI,Q5 E,1,2
Evans,CHEVROLET,BOLT EUV,1,3
Evans,TESLA,MODEL 3,1,4
Evans,TESLA,MODEL Y,1,5
Everett,TESLA,MODEL Y,198,1
Everett,TESLA,MODEL 3,195,2
Everett,NISSAN,LEAF,168,3
Everett,CHEVROLET,BOLT EV,96,4
Everett,CHEVROLET,VOLT,86,5
Everson,TESLA,MODEL Y,19,1
Everson,TESLA,MODEL 3,16,2
Everson,NISSAN,LEAF,8,3
Everson,CHEVROLET,BOLT EV,6,4
Everson,TESLA,MODEL S,4,5
Fairchild Air Force Base,TESLA,MODEL 3,8,1
Fairchild Air Force Base,MAZDA,CX-90,2,2
Fairchild Air Force Base,NISSAN,LEAF,2,3
Fairchild Air Force Base,TESLA,MODEL Y,2,4
Fairchild Air Force Base,AUDI,Q5,1,5
Fairfield,CHEVROLET,VOLT,1,1
Fairfield,FORD,F-150,1,2
Fairfield,JEEP,WRANGLER,1,3
Fall City,TESLA,MODEL Y,44,1
Fall City,TESLA,MODEL 3,42,2
Fall City,TESLA,MODEL S,14,3
Fall City,NISSAN,LEAF,12,4
Fall City,TESLA,MODEL X,10,5
Farmington,JEEP,WRANGLER,1,1
Federal Way,TESLA,MODEL 3,173,1
Federal Way,TESLA,MODEL Y,173,2
Federal Way,NISSAN,LEAF,84,3
Federal Way,TESLA,MODEL S,62,4
Federal Way,CHEVROLET,BOLT EV,46,5
Ferndale,TESLA,MODEL 3,56,1
Ferndale,TESLA,MODEL Y,56,2
Ferndale,NISSAN,LEAF,39,3
Ferndale,CHEVROLET,BOLT EV,21,4
Ferndale,TESLA,MODEL S,19,5
Fife,TESLA,MODEL Y,45,1
Fife,TESLA,MODEL 3,35,2
Fife,JEEP,GRAND CHEROKEE,14,3
Fife,CHEVROLET,VOLT,10,4
Fife,BMW,I4,8,5
Fircrest,TESLA,MODEL 3,32,1
Fircrest,TESLA,MODEL Y,32,2
Fircrest,NISSAN,LEAF,19,3
Fircrest,TESLA,MODEL S,7,4
Fircrest,CHEVROLET,BOLT EV,6,5
Ford,CHEVROLET,VOLT,2,1
Ford,CHEVROLET,BOLT EV,1,2
