"State","County","Model Year","Make","Model","TTL_VEHICLES"
WA,Pierce,2024,KIA,EV9,42
WA,Pierce,2024,FORD,F-150,55
WA,Pierce,2024,MERCEDES-BENZ,GLE-CLASS,7
WA,Pierce,2024,JEEP,GRAND CHEROKEE,22
WA,Pierce,2024,GENESIS,GV60,3
WA,Pierce,2024,GENESIS,GV70,3
WA,Pierce,2024,MINI,HARDTOP,6
WA,Pierce,2024,DODGE,HORNET,17
WA,Pierce,2024,GMC,HUMMER EV PICKUP,9
WA,Pierce,2024,GMC,HUMMER EV SUV,17
WA,Pierce,2024,JAGUAR,I-PACE,1
WA,Pierce,2024,BMW,I4,27
WA,Pierce,2024,BMW,I5,12
WA,Pierce,2024,BMW,I7,3
WA,Pierce,2024,VOLKSWAGEN,ID.4,32
WA,Pierce,2024,HYUNDAI,IONIQ 5,37
WA,Pierce,2024,HYUNDAI,IONIQ 6,23
WA,Pierce,2024,BMW,IX,14
WA,Pierce,2024,HYUNDAI,KONA,12
WA,Pierce,2024,NISSAN,LEAF,18
WA,Pierce,2024,CADILLAC,LYRIQ,64
WA,Pierce,2024,PORSCHE,MACAN,3
WA,Pierce,2024,TESLA,MODEL 3,33
WA,Pierce,2024,TESLA,MODEL S,6
WA,Pierce,2024,TESLA,MODEL X,30
WA,Pierce,2024,TESLA,MODEL Y,44
WA,Pierce,2024,FORD,MUSTANG MACH-E,53
WA,Pierce,2024,KIA,NIRO,30
WA,Pierce,2024,LEXUS,NX,10
WA,Pierce,2024,MULLEN AUTOMOTIVE INC.,ONE,1
WA,Pierce,2024,MITSUBISHI,OUTLANDER,5
WA,Pierce,2024,CHRYSLER,PACIFICA,9
WA,Pierce,2024,TOYOTA,PRIUS PRIME,11
WA,Pierce,2024,HONDA,PROLOGUE,36
WA,Pierce,2024,POLESTAR,PS2,9
WA,Pierce,2024,AUDI,Q5 E,20
WA,Pierce,2024,AUDI,Q8,27
WA,Pierce,2024,RIVIAN,R1S,25
WA,Pierce,2024,RIVIAN,R1T,18
WA,Pierce,2024,LAND ROVER,RANGE ROVER SPORT,1
WA,Pierce,2024,TOYOTA,RAV4 PRIME,39
WA,Pierce,2024,LAMBORGHINI,REVUELTO,2
WA,Pierce,2024,AUDI,RS E-TRON GT,1
WA,Pierce,2024,LEXUS,RX,4
WA,Pierce,2024,LEXUS,RZ,14
WA,Pierce,2024,MERCEDES-BENZ,S-CLASS,1
WA,Pierce,2024,VOLVO,S60,5
WA,Pierce,2024,VOLVO,S90,1
WA,Pierce,2024,CHEVROLET,SILVERADO,10
WA,Pierce,2024,SUBARU,SOLTERRA,11
WA,Pierce,2024,KIA,SORENTO,3
WA,Pierce,2024,ROLLS-ROYCE,SPECTRE,1
WA,Pierce,2024,KIA,SPORTAGE,20
WA,Pierce,2024,AUDI,SQ8,3
WA,Pierce,2024,PORSCHE,TAYCAN,5
WA,Pierce,2024,ALFA ROMEO,TONALE,7
WA,Pierce,2024,FORD,TRANSIT,1
WA,Pierce,2024,HYUNDAI,TUCSON,20
WA,Pierce,2024,VOLVO,V60,2
WA,Pierce,2024,JEEP,WAGONEER S,5
WA,Pierce,2024,JEEP,WRANGLER,42
WA,Pierce,2024,BMW,X5,9
WA,Pierce,2024,VOLVO,XC40,8
WA,Pierce,2024,VOLVO,XC60,20
WA,Pierce,2024,VOLVO,XC90,21
WA,Pierce,2024,BMW,XM,2
WA,Pierce,2024,ACURA,ZDX,16
WA,Pierce,2025,LUCID,AIR,6
WA,Pierce,2025,NISSAN,ARIYA,15
WA,Pierce,2025,CHEVROLET,BLAZER,5
WA,Pierce,2025,CHEVROLET,BRIGHTDROP 400,2
WA,Pierce,2025,TOYOTA,BZ4X,6
WA,Pierce,2025,PORSCHE,CAYENNE,1
WA,Pierce,2025,DODGE,CHARGER,2
WA,Pierce,2025,MINI,COUNTRYMAN,9
WA,Pierce,2025,MAZDA,CX-70,11
WA,Pierce,2025,MAZDA,CX-90,15
WA,Pierce,2025,TESLA,CYBERTRUCK,5
WA,Pierce,2025,MERCEDES-BENZ,E-CLASS,2
WA,Pierce,2025,MERCEDES-BENZ,EQB-CLASS,1
WA,Pierce,2025,MERCEDES-BENZ,EQE-CLASS SUV,1
WA,Pierce,2025,CHEVROLET,EQUINOX,23
WA,Pierce,2025,FORD,ESCAPE,4
WA,Pierce,2025,KIA,EV9,20
WA,Pierce,2025,VOLVO,EX30,6
WA,Pierce,2025,VOLVO,EX40,3
WA,Pierce,2025,VOLVO,EX90,3
WA,Pierce,2025,FORD,F-150,2
WA,Pierce,2025,MERCEDES-BENZ,G-CLASS,2
WA,Pierce,2025,MERCEDES-BENZ,GLC-CLASS,8
WA,Pierce,2025,MERCEDES-BENZ,GLE-CLASS,9
WA,Pierce,2025,GENESIS,GV60,2
WA,Pierce,2025,GENESIS,GV70,1
WA,Pierce,2025,GMC,HUMMER EV PICKUP,4
WA,Pierce,2025,GMC,HUMMER EV SUV,8
WA,Pierce,2025,BMW,I4,15
WA,Pierce,2025,BMW,I5,4
WA,Pierce,2025,VOLKSWAGEN,ID. BUZZ,9
WA,Pierce,2025,VOLKSWAGEN,ID.4,2
WA,Pierce,2025,HYUNDAI,IONIQ 5,11
WA,Pierce,2025,HYUNDAI,IONIQ 5 N,1
WA,Pierce,2025,HYUNDAI,IONIQ 6,9
WA,Pierce,2025,BMW,IX,10
WA,Pierce,2025,HYUNDAI,KONA,7
WA,Pierce,2025,NISSAN,LEAF,15
WA,Pierce,2025,CADILLAC,LYRIQ,15
WA,Pierce,2025,BMW,M5,1
WA,Pierce,2025,PORSCHE,MACAN,2
WA,Pierce,2025,TESLA,MODEL 3,26
WA,Pierce,2025,TESLA,MODEL S,3
WA,Pierce,2025,TESLA,MODEL X,12
WA,Pierce,2025,TESLA,MODEL Y,44
WA,Pierce,2025,KIA,NIRO,18
WA,Pierce,2025,LEXUS,NX,9
WA,Pierce,2025,CADILLAC,OPTIQ,4
WA,Pierce,2025,MITSUBISHI,OUTLANDER,4
WA,Pierce,2025,CHRYSLER,PACIFICA,5
WA,Pierce,2025,PORSCHE,PANAMERA,1
WA,Pierce,2025,POLESTAR,POLESTAR 3,7
WA,Pierce,2025,TOYOTA,PRIUS PHEV,4
WA,Pierce,2025,HONDA,PROLOGUE,3
WA,Pierce,2025,AUDI,Q5 E,1
WA,Pierce,2025,AUDI,Q6,8
WA,Pierce,2025,RIVIAN,R1S,18
WA,Pierce,2025,RIVIAN,R1T,14
WA,Pierce,2025,LAND ROVER,RANGE ROVER,3
WA,Pierce,2025,LAND ROVER,RANGE ROVER SPORT,2
WA,Pierce,2025,TOYOTA,RAV4 PHEV,20
WA,Pierce,2025,LEXUS,RX,4
WA,Pierce,2025,LEXUS,RZ,6
WA,Pierce,2025,MERCEDES-BENZ,S-CLASS,1
WA,Pierce,2025,VOLVO,S60,1
WA,Pierce,2025,GMC,SIERRA,1
WA,Pierce,2025,CHEVROLET,SILVERADO,3
WA,Pierce,2025,KIA,SORENTO,16
WA,Pierce,2025,KIA,SPORTAGE,21
WA,Pierce,2025,PORSCHE,TAYCAN,5
WA,Pierce,2025,HYUNDAI,TUCSON,2
WA,Pierce,2025,VOLVO,V60,2
WA,Pierce,2025,JEEP,WAGONEER S,1
WA,Pierce,2025,JEEP,WRANGLER,5
WA,Pierce,2025,BMW,X5,11
WA,Pierce,2025,VOLVO,XC60,19
WA,Pierce,2025,VOLVO,XC90,15
WA,Pierce,2025,BMW,XM,1
WA,Pierce,2026,TESLA,MODEL Y,11
AZ,Pima,2022,TESLA,MODEL 3,1
AZ,Pima,2023,VOLVO,XC40,1
AZ,Pinal,2020,CHRYSLER,PACIFICA,1
AZ,Pinal,2023,TESLA,MODEL 3,1
CA,Placer,2019,TESLA,MODEL 3,1
CA,Placer,2020,TESLA,MODEL S,1
CA,Placer,2022,CHEVROLET,BOLT EUV,1
OR,Polk,2020,TESLA,MODEL 3,1
OR,Polk,2022,TOYOTA,RAV4 PRIME,1
VA,Portsmouth,2021,TOYOTA,RAV4 PRIME,1
VA,Prince George,2019,TESLA,MODEL 3,1
VA,Prince George,2023,HYUNDAI,KONA,1
MD,Prince George's,2013,TOYOTA,PRIUS PHEV,1
MD,Prince George's,2016,TESLA,MODEL S,1
MD,Prince George's,2020,TESLA,MODEL Y,1
MD,Prince George's,2021,TESLA,MODEL Y,1
MD,Prince George's,2023,NISSAN,LEAF,1
MD,Prince George's,2023,KIA,SORENTO,1
VA,Prince William,2014,CHEVROLET,VOLT,2
VA,Prince William,2017,NISSAN,LEAF,1
VA,Prince William,2022,HYUNDAI,IONIQ,1
RI,Providence,2015,NISSAN,LEAF,1
AR,Pulaski,2022,RIVIAN,R1T,1
MO,Pulaski,2020,TESLA,MODEL 3,1
MO,Pulaski,2023,TESLA,MODEL Y,1
GA,Richmond,2013,CHEVROLET,VOLT,1
VA,Richmond,2023,KIA,NIRO,1
CA,Riverside,2018,TESLA,MODEL 3,1
CA,Riverside,2019,TESLA,MODEL X,1
CA,Riverside,2021,VOLKSWAGEN,ID.4,1
CA,Riverside,2022,TESLA,MODEL 3,1
CA,Riverside,2023,FORD,MUSTANG MACH-E,1
CA,Riverside,2024,TESLA,MODEL Y,1
GA,Rockdale,2021,VOLKSWAGEN,ID.4,1
NH,Rockingham,2020,TESLA,MODEL 3,1
NH,Rockingham,2022,TESLA,MODEL Y,1
NH,Rockingham,2024,BMW,I4,1
NH,Rockingham,2026,TESLA,MODEL Y,1
CA,Sacramento,2022,TESLA,MODEL 3,1
CA,Sacramento,2022,RIVIAN,R1T,1
MI,Saginaw,2022,JEEP,GRAND CHEROKEE,1
CA,San Bernardino,2021,TESLA,MODEL Y,1
CA,San Bernardino,2023,TESLA,MODEL Y,2
CA,San Bernardino,2024,BMW,IX,1
CA,San Bernardino,2024,TESLA,MODEL Y,1
CA,San Diego,2016,BMW,X5,1
CA,San Diego,2017,TESLA,MODEL S,1
CA,San Diego,2018,TESLA,MODEL 3,3
CA,San Diego,2018,TESLA,MODEL S,1
CA,San Diego,2018,CHRYSLER,PACIFICA,1
CA,San Diego,2020,TESLA,MODEL 3,1
CA,San Diego,2020,CHRYSLER,PACIFICA,1
CA,San Diego,2020,TOYOTA,PRIUS PRIME,1
CA,San Diego,2021,TESLA,MODEL 3,3
CA,San Diego,2021,TESLA,MODEL Y,2
CA,San Diego,2021,CHRYSLER,PACIFICA,1
CA,San Diego,2021,TOYOTA,RAV4 PRIME,1
CA,San Diego,2021,VOLVO,V60,1
CA,San Diego,2022,TESLA,MODEL 3,1
CA,San Diego,2022,FORD,MUSTANG MACH-E,1
CA,San Diego,2022,POLESTAR,PS2,1
CA,San Diego,2023,CHEVROLET,BOLT EUV,1
CA,San Diego,2023,FORD,F-150,1
CA,San Diego,2023,VOLKSWAGEN,ID.4,1
CA,San Diego,2023,HYUNDAI,KONA,1
CA,San Diego,2023,TESLA,MODEL 3,1
CA,San Diego,2023,TESLA,MODEL Y,1
CA,San Diego,2023,FORD,MUSTANG MACH-E,1
CA,San Diego,2023,CHRYSLER,PACIFICA,1
CA,San Diego,2024,TESLA,MODEL S,1
CA,San Diego,2024,TESLA,MODEL Y,2
CA,San Francisco,2018,MITSUBISHI,OUTLANDER,1
CA,San Francisco,2020,TESLA,MODEL Y,1
WA,San Juan,2000,FORD,RANGER,1
WA,San Juan,2003,TOYOTA,RAV4,1
WA,San Juan,2008,TESLA,ROADSTER,2
WA,San Juan,2011,NISSAN,LEAF,7
WA,San Juan,2011,CHEVROLET,VOLT,1
WA,San Juan,2012,MITSUBISHI,I-MIEV,2
WA,San Juan,2012,NISSAN,LEAF,7
WA,San Juan,2012,TOYOTA,PRIUS PHEV,2
WA,San Juan,2012,TOYOTA,RAV4,2
WA,San Juan,2012,CHEVROLET,VOLT,7
WA,San Juan,2013,FIAT,"500",1
WA,San Juan,2013,FORD,C-MAX,3
WA,San Juan,2013,FORD,FUSION,1
WA,San Juan,2013,NISSAN,LEAF,11
WA,San Juan,2013,TESLA,MODEL S,5
WA,San Juan,2013,TOYOTA,PRIUS PHEV,2
WA,San Juan,2013,CHEVROLET,VOLT,5
WA,San Juan,2014,FIAT,"500",3
WA,San Juan,2014,FORD,C-MAX,3
WA,San Juan,2014,FORD,FOCUS,1
WA,San Juan,2014,SMART,FORTWO ELECTRIC DRIVE,2
WA,San Juan,2014,BMW,I3,8
WA,San Juan,2014,BMW,I8,1
WA,San Juan,2014,NISSAN,LEAF,10
WA,San Juan,2014,TESLA,MODEL S,2
WA,San Juan,2014,TOYOTA,PRIUS PHEV,2
WA,San Juan,2014,TOYOTA,RAV4,1
WA,San Juan,2014,CHEVROLET,SPARK,1
WA,San Juan,2014,CHEVROLET,VOLT,6
WA,San Juan,2015,FIAT,"500",1
WA,San Juan,2015,FORD,C-MAX,4
WA,San Juan,2015,VOLKSWAGEN,E-GOLF,3
WA,San Juan,2015,SMART,FORTWO ELECTRIC DRIVE,3
WA,San Juan,2015,BMW,I3,5
WA,San Juan,2015,NISSAN,LEAF,11
WA,San Juan,2015,TESLA,MODEL S,10
WA,San Juan,2015,TOYOTA,PRIUS PHEV,1
WA,San Juan,2015,CHEVROLET,SPARK,1
